,path,deposit_id,name,latitude,longitude,deposit_type,url
102,mrdata_json/sedexmvt/197.json,197,['Sardana'],60.19,136.48,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=197
103,mrdata_json/sedexmvt/26.json,26,['Bijiashan'],33.92,105.46,"['unclassified', 'carb-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=26
104,mrdata_json/sedexmvt/71.json,71,['Edwards'],44.34,-75.26,"['unclassified', 'carb-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=71
105,mrdata_json/sedexmvt/73.json,73,['Elura'],-31.17,145.65,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=73
106,mrdata_json/sedexmvt/91.json,91,['Gays River'],45.03,-63.36,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=91
107,mrdata_json/sedexmvt/100.json,100,['H.B.'],49.15,-117.2,"['MVT', 'carb-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=100
108,mrdata_json/sedexmvt/154.json,154,['Napier Range (Narlarla)'],-17.26,124.73,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=154
109,mrdata_json/sedexmvt/9.json,9,['Angas'],-34.67,138.91,"['cc-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=9
110,mrdata_json/sedexmvt/235.json,235,['Walton'],45.21,-64.04,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=235
111,mrdata_json/sedexmvt/201.json,201,['Sherman'],39.14,-106.17,"['CR', 'MVT']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=201
112,mrdata_json/sedexmvt/137.json,137,['Magmont'],37.63,-91.08,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=137
113,mrdata_json/sedexmvt/66.json,66,['Dugald River'],-20.25,140.15,"['unclassified', 'sh-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=66
114,mrdata_json/sedexmvt/149.json,149,['Morro Agudo'],-17.32,-46.8,"['MVT', 'Irish', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=149
115,mrdata_json/sedexmvt/191.json,191,['Ruddock Creek'],51.27,-118.98,"['unclassified', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=191
116,mrdata_json/sedexmvt/93.json,93,['Gorevsk'],58.08,93.31,"['UN', 'carb-hst', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=93
117,mrdata_json/sedexmvt/193.json,193,['Salafossa'],46.34,12.4,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=193
118,mrdata_json/sedexmvt/24.json,24,['Big Ledge'],49.5,-118.15,"['cc-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=24
119,mrdata_json/sedexmvt/202.json,202,['Siding'],25.07,109.53,"['MVT', 'CD']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=202
120,mrdata_json/sedexmvt/87.json,87,['Ganeshpura'],25.8,75.25,"['carb-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=87
121,mrdata_json/sedexmvt/33.json,33,['Boston Hill'],53.22,6.94,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=33
122,mrdata_json/sedexmvt/145.json,145,['Mochia'],24.36,73.72,"['carb-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=145
123,mrdata_json/sedexmvt/54.json,54,['Cottonbelt'],51.45,-118.82,"['unclassified', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=54
124,mrdata_json/sedexmvt/174.json,174,['Qiandongshan'],33.59,110.79,"['unclassified', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=174
125,mrdata_json/sedexmvt/227.json,227,['Umm Gheig'],25.63,34.45,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=227
126,mrdata_json/sedexmvt/184.json,184,['Remac'],49.02,-117.37,"['MVT/Irish', 'MVT', 'carb-hst', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=184
127,mrdata_json/sedexmvt/152.json,152,['Moyvoughly'],53.45,-7.68,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=152
128,mrdata_json/sedexmvt/179.json,179,['Rammelsberg'],51.88,10.42,"['sh-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=179
129,mrdata_json/sedexmvt/162.json,162,['Paduna North Block'],24.27,73.69,"['carb-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=162
130,mrdata_json/sedexmvt/105.json,105,['Huayuan'],28.41,109.41,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=105
131,mrdata_json/sedexmvt/78.json,78,['Faro'],62.36,-133.37,"['sh-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=78
132,mrdata_json/sedexmvt/140.json,140,['Matahambre'],22.43,-83.43,"['sh-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=140
133,mrdata_json/sedexmvt/200.json,200,['Sedmochislenitsi'],43.15,23.54,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=200
134,mrdata_json/sedexmvt/151.json,151,['Mount Torrens'],-34.88,139.3,"['cc-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=151
135,mrdata_json/sedexmvt/239.json,239,['Yindongliang'],33.75,106.84,"['sh-hst', 'carb-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=239
136,mrdata_json/sedexmvt/171.json,171,['Pinnacles'],-32.09,141.39,"['BHT', 'unclassified', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=171
137,mrdata_json/sedexmvt/211.json,211,['Sumsar'],41.22,71.34,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=211
138,mrdata_json/sedexmvt/57.json,57,['Daliangzi'],26.63,102.88,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=57
139,mrdata_json/sedexmvt/50.json,50,['Cirque'],57.51,-125.15,"['sh-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=50
140,mrdata_json/sedexmvt/131.json,131,['Lafatsch'],47.36,11.45,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=131
141,mrdata_json/sedexmvt/187.json,187,['Rickardstown'],53.9,6.82,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=187
142,mrdata_json/sedexmvt/156.json,156,['Newfoundland Zinc'],50.28,-57.47,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=156
143,mrdata_json/sedexmvt/65.json,65,['Duddar'],26.09,66.82,"['sh-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=65
144,mrdata_json/sedexmvt/208.json,208,['South Dedwas'],25.35,74.57,"['unclassified', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=208
