,deposit_id,deposit_name,latitude,longitude,deposit_model,url
219,594,Dvoryan,50.245,45.275,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=594
220,435,Dzhamantau,48.3333,51.8667,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=435
221,925,Dzhambulak,38.8666,66.4006,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=925
222,444,Dzhien-Kazgantau,48.585,51.904,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=444
223,370,Gave Khoni,32.0672,52.7697,potash-bearing brine,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=370
224,845,Eagle,39.691,-106.898,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=845
225,926,East Karail,38.7272,67.0819,mixed stratabound potash-bearing salt and halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=926
226,595,East Sharnut,47.607,44.047,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=595
227,860,Eddy,32.5732,-103.9995,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=860
228,503,Edri,27.5333,13.15,potash-bearing brine,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=503
229,252,Ehmen,52.398,10.71,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=252
230,254,Einigkeit,53.045,11.4,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=254
231,504,El Agheila,30.283,19.567,potash-bearing brine,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=504
232,413,El Lisan,31.283,35.467,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=413
233,895,Elephant Knoll SE,40.2778,-113.7592,potash-bearing brine,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=895
234,129,Elkhorn,49.915,-101.249,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=129
235,596,Elton,49.1348,46.6782,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=596
236,597,Elton North,49.2244,46.6936,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=597
237,598,Elton Ulagan,49.1952,46.8022,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=598
238,600,Gazhenka,59.167,108.35,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=600
239,218,Ensisheim,47.8622,7.3355,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=218
240,346,Ernst Thalman,50.8215,10.123,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=346
241,599,Ershov,51.241,48.209,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=599
242,189,Esh El Mellaha,27.7419,33.4049,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=189
243,724,Esparza-Undino,42.75,-1.6833,mixed stratabound potash-bearing salt and halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=724
244,756,Etymdag,37.4178,66.2919,mixed stratabound potash-bearing salt and halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=756
